income range (group),Measure Names,Term Address Category-revised (group),Measure Values,Number of Records
" $0 - < $80,000",N,Simmons Hall,93,93
" $0 - < $80,000",N,Senior House,43,43
" $0 - < $80,000",N,Random Hall,33,33
" $0 - < $80,000",N,New West Campus Houses,75,75
" $0 - < $80,000",N,McCormick Hall,65,65
" $0 - < $80,000",N,Maseeh Hall,112,112
" $0 - < $80,000",N,MacGregor House,87,87
" $0 - < $80,000",N,East Campus,92,92
" $0 - < $80,000",N,Burton House,67,67
" $0 - < $80,000",N,Baker House,63,63
" $0 - < $80,000",N,500 Memorial Drive,86,86
" $0 - < $80,000",%,Simmons Hall,0.273529412,93
" $0 - < $80,000",%,Senior House,0.309352518,43
" $0 - < $80,000",%,Random Hall,0.354838710,33
" $0 - < $80,000",%,New West Campus Houses,0.313807531,75
" $0 - < $80,000",%,McCormick Hall,0.278969957,65
" $0 - < $80,000",%,Maseeh Hall,0.232848233,112
" $0 - < $80,000",%,MacGregor House,0.281553398,87
" $0 - < $80,000",%,East Campus,0.248648649,92
" $0 - < $80,000",%,Burton House,0.186111111,67
" $0 - < $80,000",%,Baker House,0.205882353,63
" $0 - < $80,000",%,500 Memorial Drive,0.232432432,86
"$80,000 - < $150,000,  ",N,Simmons Hall,76,76
"$80,000 - < $150,000,  ",N,Senior House,29,29
"$80,000 - < $150,000,  ",N,Random Hall,20,20
"$80,000 - < $150,000,  ",N,New West Campus Houses,47,47
"$80,000 - < $150,000,  ",N,McCormick Hall,42,42
"$80,000 - < $150,000,  ",N,Maseeh Hall,76,76
"$80,000 - < $150,000,  ",N,MacGregor House,66,66
"$80,000 - < $150,000,  ",N,East Campus,68,68
"$80,000 - < $150,000,  ",N,Burton House,47,47
"$80,000 - < $150,000,  ",N,Baker House,59,59
"$80,000 - < $150,000,  ",N,500 Memorial Drive,81,81
"$80,000 - < $150,000,  ",%,Simmons Hall,0.223529412,76
"$80,000 - < $150,000,  ",%,Senior House,0.208633094,29
"$80,000 - < $150,000,  ",%,Random Hall,0.215053763,20
"$80,000 - < $150,000,  ",%,New West Campus Houses,0.196652720,47
"$80,000 - < $150,000,  ",%,McCormick Hall,0.180257511,42
"$80,000 - < $150,000,  ",%,Maseeh Hall,0.158004158,76
"$80,000 - < $150,000,  ",%,MacGregor House,0.213592233,66
"$80,000 - < $150,000,  ",%,East Campus,0.183783784,68
"$80,000 - < $150,000,  ",%,Burton House,0.130555556,47
"$80,000 - < $150,000,  ",%,Baker House,0.192810458,59
"$80,000 - < $150,000,  ",%,500 Memorial Drive,0.218918919,81
" $150,000 - < $200,000",N,Simmons Hall,47,47
" $150,000 - < $200,000",N,Senior House,12,12
